Name,Description,Age,Rating_out_of_5,No_of_Ratings,Price,Link
Cat Kid Comic Club: From the Creator of Dog Man,"
A pioneering new graphic novel series by Dav Pilkey, the author and illustrator of the internationally bestselling Dog Man and Captain Underpants series.In Cat Kid Comic Club, Li'l Petey, Flippy, and Molly introduce twenty-one rambunctious, funny, and talented baby frogs to the art of comic making. As the story unwinds with mishaps and hilarity, readers get to see the progress, mistakes, and improvements that come with practice and persistence.Squid Kid and Katydid, Baby Frog Squad, Monster Cheese Sandwich, and Birds Flowers Trees: A Haiku Photo Comic are just some of the mini-comics that are included as stories-within-the-story, each done in a different style, utilizing humor and drama, prose and poetry, illustrated in different media including acrylics, pastels, colored pencils, felt-tip markers, clay, hand-made cardboard sculptures, photographs, pipe cleaners, construction paper collages, and cookies.Readers of all ages will be inspired to dream up their own stories and unleash their own creativity as they dive into this new graphic novel adventure from Dav Pilkey and his heartfelt, humorous, and amazing cast of characters in the Cat Kid Comic Club.

",Ages: 7 years and up,4.9,4.981,$7.20,https://www.amazon.com/Cat-Kid-Comic-Club-Creator/dp/1338712764/ref=sr_1_13?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-13
The Ickabog,"
From J.K. Rowling, a warm, fast-paced, funny fairy tale of a fearsome monster, thrilling adventure, and hope against all odds.Once upon a time there was a tiny kingdom called Cornucopia, as rich in happiness as it was in gold, and famous for its food. From the delicate cream cheeses of Kurdsburg to the Hopes-of-Heaven pastries of Chouxville, each was so delicious that people wept with joy as they ate them.But even in this happy kingdom, a monster lurks. Legend tells of a fearsome creature living far to the north in the Marshlands... the Ickabog. Some say it breathes fire, spits poison, and roars through the mist as it carries off wayward sheep and children alike. Some say it's just a myth...And when that myth takes on a life of its own, casting a shadow over the kingdom, two children - best friends Bert and Daisy - embark on a great adventure to untangle the truth and find out where the real monster lies, bringing hope and happiness to Cornucopia once more.Featuring full color illustrations by children from across the United States and Canada, this original fairy tale from one of the world's most celebrated storytellers will captivate readers of all ages.

",Ages: 8 years and up,4.8,6.7,$13.49,https://www.amazon.com/Ickabog-J-K-Rowling/dp/1338732870/ref=sr_1_14?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-14
"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon","
Visit the magic tree house and start a time traveling adventure with the first four stories in the #1 bestselling chapter book series of all time! Four books included in one perfectly giftable box set! Meet Jack and Annie! Jack and his younger sister, Annie, are just regular kids. But when they discover a tree house in the woods, something magical happens. Jack and Annie are whisked back in time to the Age of Dinosaurs, a medieval castle, ancient pyramids, and treasure-seeking pirates.    Books in this set include: Dinosaurs Before Dark (#1), The Knight at Dawn (#2), Mummies in the Morning (#3), and Pirates Past Noon (#4). The Magic Tree House series has been a classroom favorite for over 25 years and is sure to inspire a love of reading—and adventure—in every child who joins Jack and Annie! Did you know that the Magic Tree House series has two levels? MAGIC TREE HOUSE: Perfect for readers 6-9 who are just beginning to read chapter books—includes this boxed set! MERLIN MISSIONS: More challenging adventures for experienced readers ages 7-10

",Ages: 8 - 9 years,4.8,9.449,$14.99,https://www.amazon.com/Magic-Tree-House-Boxed-Books/dp/0375813659/ref=sr_1_15?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-15
The Dark Secret (Wings of Fire Graphic Novel #4): A Graphix Book (4),"
The #1 New York Times bestselling Wings of Fire series soars to new heights in the fourth graphic novel adaptation!In the shadows, trouble is brewing . . .When Starflight is stolen by his own tribe, he hopes to at least discover some of the long-held NightWing secrets -- what magical powers they really have, who they're allied with in the war, and where they've been living all this time.But the truth about Starflight's tribe is more terrible than he ever imagined: Not only do the NightWings live in a dark, miserable place, but they've imprisoned several innocent RainWings there, too. Stranded and alone, Starflight only wants to get back to his friends. But the fate of two kingdoms now rests in his talons, and with no one to save him, Starflight will have to find a way to be brave . . . before it's too late.

",Ages: 8 - 12 years,4.9,846,$11.04,https://www.amazon.com/Dark-Secret-Wings-Graphic-Novel/dp/1338344218/ref=sr_1_16?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-16
"School Zone - Big Preschool Workbook - Ages 3 to 5, Colors, Shapes, Numbers 1-10, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)","
School Zone products shipped and sold by Amazon are genuine and authentic. Products sold by other sellers may be of lesser quality and are not guaranteed by School Zone. Find our complete line of educational resources at Amazon.com/SchoolZonePublishing. BOOK FEATURES  320 pages: 319 activity pages, 1 award certificate For ages 3-5 7.75"" x 10.75"" pages with durable glossy cover Book has 5 sections with Parent notes for each: Pre-writing, Alphabet, Colors & Shapes, Following Directions, Numbers & Early Math The skill being practiced is listed at the bottom of each page Colorful, kid friendly illustrations reinforce the lessons Concepts flow from easy to more difficult, and pages are perforated to easily tear out for individual worksheets  AMAZING - Big Preschool Workbook has 300+ colorful exercises that make learning fun! An A+ adventure unfolds, as kids encounter sensational squares and rocking rectangles, a giant newt reading the newspaper and a dinosaur playing the drums. Bold, bright colors and illustrations ease little ones into learning without feeling overwhelmed. Lessons focus on must-know readiness basics, and help little ones learn colors, shapes, the alphabet letters, primary phonics, and pre-writing skills. This is more than just an abc book, kids can also learn numbers, basic math, and following directions. Activities appear in order of increasing difficulty, so preschoolers stay challenged until the end, constantly expanding their skills through reinforcement learning. With the colorful and kid friendly illustrations and easy directions and visual clues, this preschool workbook is fun and easy to use. WORKBOOKS FOR KIDS - Using kids workbooks is a great way to improve learning. Writing by hand, as opposed to typing on a computer, fires up specific areas of a child's brain, improving their ability to not only remember what he or she learns but to think of new ideas. When kids finish the workbook, you can fill out the included “Great Job! You’re #1” completion certificate to reward a job well done. PREPARATION - Let us help you prepare your young children for the next grade level with our workbooks, flashcards, card games, early reading books, and online learning program – Anywhere Teacher. Keep kids ""classroom ready"" with these great supplemental learning tools and more! AWARD WINNING - School Zone content has won The Parents’ Choice Foundation Award, Tillywig Toy Awards, Brainchild Award, Family Choice Award, Mom's Choice Awards Honoring Excellence, Gold Star Toy Scholastic Parent and Child Award and many more. OUR STORY - More than 40 years ago, long-time educators James Hoffman, Ed.D., and his wife Joan Hoffman, M.A., began a retail supply outlet for teachers, then soon identified a need for at-home learning materials to help parents support and supplement their children’s classroom instruction. School Zone Publishing fast emerged as the market leader in workbooks and flashcards for preschoolers through sixth graders. School Zone remains family-owned, focused on excellence, responsive to customers, alert to emerging technology, and committed to the community. We continually update our products with new features and content, reflective of changing standards, evolving teaching methods, and overall best practices.

",Ages: 3 - 5 years,4.8,42.288,$8.19,https://www.amazon.com/School-Zone-Preschool-Pre-Writing-Pre-Reading/dp/0887431453/ref=sr_1_17?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-17
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,"
Paint a zoo full of animals with stickers!Step 1: Find the stickerStep 2: Peel the stickerStep 3: Place the sticker …and watch your animal painting come to life! Includes everything you need to create ten sticker paintings on study card stock. Plus, all the pages are perforated—making it easy to tear out each finished work to frame and share!  

",Ages: 5 - 12 years,4.8,10.997,$5.90,https://www.amazon.com/Paint-Sticker-Kids-Animals-Pictures/dp/0761189602/ref=sr_1_18?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-18
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,"
Jumpstart reading success with this big collection of motivating storybooks correlated with Guided Reading Level A. Most pages of these full-color storybooks feature just one line of simple, repetitive text to help children learn to read with ease and confidence. Includes a tip-filled parent guide. A great value!Includes these 25 titles:1. Hello, Beach2. What Can I See?3. Cold Rose4. Birthday Surprise 5. Fun with Mud6. I Like School!7. What is for Supper?8. Fun at the Playground9. Look What I Found!10. What Shines?11. Bubbles12. What Do I Need?13. Where is Petey?14. HIDE AND SEEK15. HATS, HATS, HATS16. SHAPES FOR LUNCH17. WINTER IS HERE18. WHAT IS READ19. I LIKE STRIPES20. WHEN NIGHT COMES21. SWEET TREAT22. I CAN DRAW!23. ALMOST SPRING24. HURRY UP! HURRY UP!25. CLASS PETS For use with Grades PreK-2.

",Ages: 4 - 7 years,4.7,15.142, $10.20,https://www.amazon.com/First-Little-Readers-Parent-Pack/dp/0545231493/ref=sr_1_19?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-19
"Bob Books, Set 1: Beginning Readers","
Teach a child letter sounds with Bob Books Set 1! With four letters in the first story, children can read a whole book. Consistent new sounds are added gradually, until young readers have read books with all letters of the alphabet (except Q). Short vowels and three-letter words in simple sentences make Bob Books Set 1 a fun confidence builder. With little books, come big success. (TM)

",Ages: 4 - 6 years,4.8,11.095,$10.19,https://www.amazon.com/Bob-Books-Set-Beginning-Readers/dp/0439845009/ref=sr_1_20?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-20
"Brown Bear, Brown Bear, What Do You See?","
A big happy frog, a plump purple cat, a handsome blue horse, and a soft yellow duck--all parade across the pages of this delightful book. Children will immediately respond to Eric Carle's flat, boldly colored collages. Combined with Bill Martin's singsong text, they create unforgettable images of these endearing animals.

",Ages: 2 - 5 years,4.9,23.189,$5.00,https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905/ref=sr_1_21?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-21
Of Thee I Sing: A Letter to My Daughters,"
Barack Obama delivers a tender, beautiful letter to his daughters in this powerful picture book illustrated by award-winner Loren Long that's made to be treasured!   In this poignant letter to his daughters, Barack Obama has written a moving tribute to thirteen groundbreaking Americans and the ideals that have shaped our nation. From the artistry of Georgia O'Keeffe, to the courage of Jackie Robinson, to the patriotism of George Washington, Obama sees the traits of these heroes within his own children, and within all of America’s children.   Breathtaking, evocative illustrations by award-winning artist Loren Long at once capture the personalities and achievements of these great Americans and the innocence and promise of childhood.   This beautiful book celebrates the characteristics that unite all Americans, from our nation’s founders to generations to come. It is about the potential within each of us to pursue our dreams and forge our own paths. It is a treasure to cherish with your family forever.

",Ages: 4 - 8 years,4.9,2.058,$6.76,https://www.amazon.com/Thee-Sing-Letter-My-Daughters/dp/037583527X/ref=sr_1_22?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-22
Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9),"
The mayor has had enough of Dog Man's shenanigans in the ninth book from worldwide bestselling author and artist Dav Pilkey.Dog Man's really done it this time! He hands over his badge and clears out his desk, but while he may be out of a job, he's not yet out of hope. With his friends at his side, can Dog Man dig himself out of this hole and paw his way back onto the force?Dav Pilkey's wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including empathy, kindness, persistence, and the importance of doing good.

",Ages: 7 years and up,4.9,27.255,$6.49,https://www.amazon.com/Dog-Man-Punishment-Creator-Underpants/dp/1338535625/ref=sr_1_23?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-23
Kamala and Maya’s Big Idea,"
INSPIRED BY A TRUE STORY FROM THE CHILDHOOD OF VICE PRESIDENT KAMALA HARRIS!A beautiful, empowering picture book about two sisters who work with their community to effect change, inspired by a true story from the childhood of the author’s aunt, Kamala Harris, and mother, lawyer and policy expert Maya Harris.“A must read for little girls around the world.” —Elizabeth Warren, U.S. Senator from Massachusetts“An inspiring tale.” —Stacey Abrams, Former Minority Leader, Georgia House of Representatives; Founder and Chair, Fair Fight Action“I love this book.” —Megan Rapinoe, Co-Captain, U.S. Women’s National Soccer TeamOne day, Kamala and Maya had an idea. A big idea: They would turn their empty apartment courtyard into a playground!This is the uplifting tale of how the author’s aunt and mother first learned to persevere in the face of disappointment and turned a dream into reality. This is a story of children’s ability to make a difference and of a community coming together to transform their neighborhood.A New York Times bestseller!

",Ages: 4 - 8 years,4.9,1.587,$14.50,https://www.amazon.com/Kamala-Mayas-Idea-Meena-Harris/dp/0062937405/ref=sr_1_24?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-24
